Iteración: 213, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 214, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 215, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 216, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 217, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 218, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 219, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 220, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 221, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 222, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 223, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 224, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 225, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 226, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 227, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 228, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 229, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 230, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 231, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 232, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 233, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 234, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 235, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 236, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 237, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 238, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 239, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 240, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 241, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 242, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 243, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 244, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 245, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 246, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 247, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 248, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 249, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 250, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 251, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 252, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 253, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 254, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 255, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 256, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 257, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 258, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 259, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 260, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 261, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 262, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 263, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 264, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 265, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 266, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 267, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
Iteración: 268, Fitness: 0.0258413858407837, Valores: [0.059180039955294625, 0.25, 12.157087025935706]
